編號	問題狀態	測試日期	模組	測試人員	問題敘述	圖檔連結	當前問題流向	負責人	修正版號	問題解答 by 開發人員/PM
QN	一般	9/17	Promoter	Ian	"【會員註冊】
會員註冊欄位的格式錯誤提示為英文「signup.form.error.messge2」"	IMG_2312.jpg	⮕Server	Ian	1.7.0	"Ian：請XXX協助確認，語言包已更新
XXX：已修正"
Q25	嚴重	3/20	其他	Sienna	【內部管理後台】根據目前的所有功能，建立內部管理後台(含會員資料、方案、訂單、點數、企業帳號、虛擬人、報表、log等)		⮕Server	Neo		
Q46	嚴重	3/24	其他	Ian	系統更新維護邏輯		⮕Server	Summer		
Q43	嚴重	3/24	其他	Ian	"修改項目：系統公告 / 版本更新通知功能
#1｜DB Migration — 新增 announcements 表

id
title           -- 公告標題
content         -- 公告內容
type            -- 'maintenance' / 'feature' / 'general'
target_group    -- 'all' / 'business' / 'personal'
is_active       -- 是否啟用
starts_at       -- 生效時間
expires_at      -- 過期時間（null = 永不過期）
created_by      -- admin member_id
created_at
#2｜DB Migration — 新增 announcement_reads 表

id
member_id       -- FK → members.id
announcement_id -- FK → announcements.id
read_at
UNIQUE(member_id, announcement_id)
#3｜Admin API — 公告管理

新增以下端點（需 Admin 權限）：

POST /admin/announcements — 建立公告
PATCH /admin/announcements/{id} — 編輯 / 停用公告
GET /admin/announcements — 列出所有公告（含已過期）
受影響檔案：app/routers/admin.py

#4｜前端 API — 取得未讀公告

新增以下端點（需登入）：

GET /announcements — 取得對該用戶有效的未讀公告
依 target_group 過濾（all 全部看得到，business 只有企業帳號，personal 只有個人帳號）
依 starts_at / expires_at 過濾
排除已在 announcement_reads 有記錄的
POST /announcements/{id}/read — 標記已讀
新增檔案：app/routers/announcements.py

#5｜前端顯示 — Modal 彈窗（maintenance 類型）

登入後呼叫 GET /announcements，若有 type = 'maintenance' 的未讀公告，優先以 Modal 彈出顯示。使用者關閉時呼叫 POST /announcements/{id}/read。

#6｜前端顯示 — 通知鈴鐺（feature / general 類型）

右上角新增通知 icon，顯示未讀數量紅點。點開展開公告列表，點單筆公告標記已讀。

#7｜Admin 後台 — 公告管理介面

在 Admin Panel 新增公告管理頁面，提供：

建立 / 編輯 / 停用公告
指定 type、target_group、生效與過期時間
列出現有公告及各公告已讀人數統計
受影響檔案：admin-panel/src/views/"		⮕Server	Neo		
Q29	嚴重	3/20	Promoter	Sienna	"【分鏡表/生成紀錄】
圖轉影生完後，直接按各分鏡預覽的播放，會是有語音的影片。但跳去選image再選回video，再播放就會是沒有聲音的影片"		⮕Server	Summer		
Q31	嚴重	3/23	Presenter	Sienna	"【匯出影片/虛擬人聲音】
各分鏡的TTS聲音不一致 (可聽附檔00:40左右)"	final_with_fadeout(1).mp4				
Q33	嚴重	3/23	Presenter	Sienna	"【匯出影片/虛擬人對嘴】
對嘴慢拍  (可聽附檔00:40後)"	final_with_fadeout(1).mp4				
Q32	嚴重	3/23	Presenter	Sienna	"【匯出影片/字幕斷行】
字幕斷行不穩定，有時會斷在奇怪的地方 (如附檔影片00:16處)；該句字數過長時，頭尾的字也會被cut掉；字幕會重疊(附圖，下面那句是上一句，沒有消失，下一句就壓在上方)"	" IMG_6220.mp4
截圖 2026-03-25 上午9.38.19.png"				
Q39	嚴重	3/23	Presenter	Sienna	"【字幕】
客戶回報，右邊框起的字幕開關，已經關了但匯出影片仍會顯示文字"	1774256461271.jpg	⮕Server	Summer		
Q7	嚴重	3/20	Presenter	Ian	"字幕字元限制問題 — 需修復項目

現況：

scriptMaxLength 寫死 150，所有語言、所有模式統一限制
預期規則：

開啟圖轉影時：中文繁體/簡體/粵語、日文 → 150 字元，其他語言 → 300 字元
未開啟圖轉影 → 無限制"		⮕Server	Summer		
Q40	嚴重		其他	Ian	"修改項目：企業主帳號改用 business_points 作為企業點數池
背景
business_points 欄位目前只有子帳號在使用，母帳號該欄位永遠為 0。直接讓母帳號也用 business_points 存放企業點數，personal_points 只保留個人訂閱/平台贈點，兩者語意清楚且不需新增欄位。

#1｜企業方案訂閱贈點改入 business_points

受影響檔案：

app/services/stripe_service.py — 第 322, 363, 426, 476 行
app/services/ecpay_service.py — 第 382, 465, 517, 627 行
修改方向：贈點時若帳號為 business Master，改加到 business_points；個人方案維持加到 personal_points。

#2｜撥點 / 回收 / 刪除子帳號改用 master.business_points

受影響檔案：

app/routers/business_admin.py — 第 572–574, 628–634, 686–691, 1056–1072 行
修改方向：

allocate_points：從 master.business_points 扣點
recover_points：點數還回 master.business_points
delete_sub_account：回收點數還回 master.business_points
所有餘額驗證改為檢查 master.business_points
#3｜扣點邏輯新增母帳號走 business_points 的分支

受影響檔案：

app/routers/auth.py — 第 413–436 行
修改方向：目前 is_business_sub 判斷有 parent_member_id is not None 才走 business_points。需新增：若為 business Master（account_type == 'business' 且 parent_member_id is NULL），使用功能時也從 business_points 扣點。

#4｜管理員手動贈點區分欄位

受影響檔案：

app/routers/admin.py — 第 663 行
修改方向：Admin 贈點 API 增加 target_pool 參數（personal / business），明確指定要加到哪個欄位。

#5｜API Response 補上 business_points 欄位

受影響檔案：

app/schemas/auth.py — UserResponse
app/routers/business_admin.py — Dashboard（第 308 行）、Summary（第 738 行）
修改方向：Dashboard 分開回傳 personal_points（個人訂閱點數）與 business_points（企業點數池）供前端分別顯示。

#6｜Admin 後台統計與顯示分離

受影響檔案：

app/routers/admin.py — 第 678, 704, 761, 832 行
admin-panel/src/views/PointsView.vue
admin-panel/src/views/BusinessAccountsView.vue
修改方向：統計 API 分開計算並顯示 total_personal_points 與 total_business_points。"		⮕Server	Neo		
Q45	嚴重		其他	Ian	"需求項目：新增 Avatar — 川總（雄獅專屬）
#1｜上傳縮圖

從以下連結下載圖片，上傳至前端靜態目錄，命名為 /avatar/A1009-1.png：
https://drive.google.com/file/d/1MWqiduajwd_0F0uuDuglzsMLFxQVolGO/view?usp=sharing

#2｜SQL 新增 Avatar

INSERT INTO avatars (id, name, gender, training_id_left, training_id_right, img_path, is_active, master_member_id, created_at, updated_at)
VALUES (
    gen_random_uuid(),
    '川總',
    'male',
    '48577',
    '48573',
    '/avatar/A1009-1.png',
    true,
    6332,
    now(),
    now()
);
#3｜IndexTTS Server — 新增聲音設定

在 soli-tts-clone-server 的 voice config 新增以下設定：

""liontravel_trump"": {
    ""name"": ""liontravel_trump"",
    ""description"": ""上傳於 2026/01/28 上午8:59:35"",
    ""audio_paths"": [
      ""/home/user/soli-tts-clone-server/voices/liontravel_trump.mp3""
    ],
    ""seed"": 8,
    ""language"": ""zh""
}
#4｜SQL 新增 Custom Voice 綁定雄獅

INSERT INTO custom_voices (id, master_member_id, voice_id, name, type, is_active, created_at, updated_at)
VALUES (
    gen_random_uuid(),
    6332,
    'liontravel_trump',
    '川總',
    'index_tts',
    true,
    now(),
    now()
);
確認項目

SELECT name, training_id_left, training_id_right, img_path, master_member_id
FROM avatars WHERE name = '川總' AND master_member_id = 6332;

SELECT voice_id, name, type, master_member_id
FROM custom_voices WHERE voice_id = 'liontravel_trump';"		⮕Server	Neo		
Q44	嚴重	3/24	其他	Ian	"需求項目：更新 Avatar — Joseph（A4）
更新對象

欄位	值
id	e9aaa3e7-f898-4301-b26c-61cd84b5060f
name	Joseph
img_path	/avatar/A4-1.png
#1｜更新縮圖

從以下連結下載圖片，覆蓋替換 /avatar/A4-1.png：
https://drive.google.com/file/d/1IyeDEBHcIRQNMORiqgHNUCVZRdD76wXI/view?usp=sharing

#2｜執行 SQL 更新 Training ID

UPDATE avatars
SET
    training_id_left  = '54394',
    training_id_right = '54395',
    updated_at = now()
WHERE id = 'e9aaa3e7-f898-4301-b26c-61cd84b5060f';
確認項目

執行後用以下 SQL 驗證：

SELECT name, gender, training_id_left, training_id_right, img_path
FROM avatars
WHERE id = 'e9aaa3e7-f898-4301-b26c-61cd84b5060f';"		⮕Server	Neo		
Q42	嚴重	3/24	其他	Sienna	"【訂閱方案頁/發票資訊】
1. 個人的發票開立方式，載具類型中「紙本發票(寄送Email)」請改文字為「電子發票(寄送Email)」、「自然人憑證」請拿掉；也請確認是否有綠界會員的歸戶選項
2. 手機欄位，增加半形數字判斷 (否則綠界後台會出現錯誤而無法開發票)
3. 請確認「公司」的「公司名稱」是否帶到姓名的值，綠界後台該欄位出現用戶姓名，發票開立會有錯誤，目前後台看沒有看到帶到這個值
4. 確認舊會員的定期定額訂單，發票串接有成功 (目前有兩筆交易有問題，一筆有交易沒發票、一筆海外交易失敗)
5.若選手機條碼，填寫手機條碼欄位後須確認是否有寫入後台，目前後台看沒有看到帶到這個值"	截圖 2026-03-24 下午1.55.25.png	⮕Server	Neo		
Q26	嚴重	3/20	Presenter	Sienna	"【分鏡表/圖轉影】
生成逾時的失敗，沒有返點"		⮕Server	Neo		
Q1	嚴重	3/20	其他	Ian	"企業組織專案歸屬問題 — 需修復項目

Editor 被移除組織後，其在組織內建立的專案仍歸屬於自己，應轉移給同部門 Admin，若無 Admin 則轉給 Master
Editor 被移除後，已匯出的影片（GeneratedVideo）也應隨專案一起轉移
Editor 被停用期間，Master/Admin 無法查看該 Editor 的專案
Master 目前無法查看所有子帳號的專案列表，應可查看組織內所有專案
Admin 目前無法查看同部門 Editor 的專案，應可查看同部門的專案"					
Q21	嚴重	3/20	其他	Ian	【P1-表單】檔案上傳無大小驗證（前端） — 品牌文件、產品圖片均無前端大小檢查，可上傳超大檔案（PromoterMode.vue）					
Q28	嚴重	3/20	雙模式	Sienna	要把系統中會跳第三方服務(gemini)、或跟流程/做法有關的提示換句話說	截圖 2026-03-20 下午5.56.51.png				
Q34	嚴重	3/23	其他	Sienna	"【會員資料頁/訂閱方案】
個人帳號加購點數，目前是會員即可購點，需改成要先是「訂閱身份」才能加購 "					
Q6	嚴重	3/20	雙模式	Ian	"影片預覽播放列無法拖曳問題 — 需修復項目

現況問題：

分鏡預覽（小影片）和「儲存並預覽」Modal（大影片）都有部分影片無法自由拖曳進度條
可能原因：

.video-preview 容器設了 overflow: hidden（PresenterClipEditor.vue:7570），影片比例與容器不一致時（如 9:16 影片在 16:9 容器），原生控制列可能被裁切或點擊區域被遮擋
Avatar overlay 層（z-index: 2）雖有 pointer-events: none，但在某些瀏覽器或觸控裝置上仍可能干擾 controls 區域
短片段（5-15 秒）的瀏覽器原生 seekbar 拖曳精度差，且影片若未完全載入（progressive download），seekbar 會限制只能拖到已緩衝的範圍
建議修法：

檢查 .video-preview 的 overflow: hidden 是否裁切到 controls 區域，改為 overflow: visible 或增加底部 padding 讓 controls 不被裁切
Modal 大影片的 .preview-video-wrapper（position: relative）確認 Avatar overlay 的 bottom: 40px 是否蓋住了 controls bar 的點擊區域
若原生 controls 在不同影片格式上表現不一致，考慮改用自訂播放器元件（如 video.js 或純 CSS/JS 自製 seekbar），統一控制體驗"					
Q3	嚴重	3/20	Presenter	Ian	"Logo 浮水印問題 — 需修復項目

前端 Logo 上傳區沒有「刪除」按鈕，用戶上傳後只能覆蓋、無法移除
後端沒有刪除 project.brand_logo_path 的 API 端點"					
Q4	嚴重	3/20	全域設定	Ian	"TTS 試聽體驗優化 — 建議做法（供 RD 參考）

現況問題：

前端試聽呼叫 GET /voices/tts/preview/{voice_id}，後端即時呼叫 Gemini/Azure 生成音檔再回傳
生成時間 2-5 秒不等，偶爾會失敗
public/voice-samples/ 已有 175 個預錄 MP3 但沒被使用
建議做法：

前端直接讀取靜態預錄檔（零延遲，最優先）

Gemini 語音：直接播放 /voice-samples/{voiceId}_{language}.mp3
命名規則已存在，例如 Kore_zh-TW.mp3、Charon_en.mp3
前端 previewVoice() 改為先檢查靜態檔是否存在，存在就直接播放，不打 API
API 作為 fallback（靜態檔不存在時才用）

新增的 Azure 語音沒有預錄檔，此時才走 API 即時生成
後端生成後應自動存檔到 voice-samples/，下次就變成靜態檔
新增語音時自動生成預錄檔

寫入 tts_voices 資料表後，自動跑 generate_voice_previews.py 生成對應語言的預覽音檔
或在 API 端加 cache：第一次生成後存到 voice-samples/，後續直接回傳"					
